Roll_No,EE,GIT,RRS,E_C,TE_II,EE_LAB,CES_Lab,OE_I,SGPA
A0200,O,O,A+,O,O,O,O,O,9.83
A0201,O,O,O,O,O,O,O,O,10
A0202,O,O,O,A+,O,O,O,A+,9.75
A0203,B+,A,A,B,A,O,A+,B+,7.75
A0204,A+,A+,A,B,A+,O,A+,A,8.42
A0205,B,A,A,B+,A,A+,A+,B,7.54
A0206,A,A+,A+,B,A,O,O,A,8.42
A0207,B+,A+,A+,B,A,O,A+,A,8.21
A0208,A,B,A+,P,A,A+,A+,A,7.5
A0209,A,A+,A,B+,A+,O,A+,A,8.42
A0210,B,B,A,F,B+,A+,A+,B,6.21
A0211,B,B,B+,P,B,O,A+,B+,6.63
A0212,A+,A+,A,A,A+,O,O,A,8.75
B0101,A+,A+,A+,B,A+,O,A+,B,8.33
B0102,O,A+,A+,B+,O,O,O,A,9.04
B0103,A+,A+,A,B,A+,O,A+,B+,8.29
B0104,A,A+,O,A,A+,O,O,B+,8.83
B0105,O,A+,A+,A,A+,O,O,O,9.29
B0106,A,A,B,B,A,O,A+,B+,7.54
B0107,O,O,A,A+,O,O,O,A,9.29
B0108,O,A+,A,A,A+,O,O,A,8.88
B0109,A+,O,O,A+,A+,O,O,A+,9.5
B0110,A+,A+,A,A+,A+,O,O,A,8.88
B0111,A+,A+,A,A,A+,O,O,A,8.7
B0112,A,A,B+,A,A,O,O,A,8.17
B0113,O,O,O,O,O,O,O,A+,9.88
B0114,A,A+,A+,A,A,O,A+,A,8.58
B0115,A+,A+,O,A+,A,O,O,A+,9.21
B0116,O,O,A+,A+,O,O,O,A+,9.58
B0117,A,A,A,B,A,O,O,A,8.08
B0118,B+,A+,O,A,A,O,A+,A,8.63
B0119,A,O,A+,A,O,O,O,A+,9.21
B0120,A,A,A+,B+,B+,O,A+,A,8.17
B0121,O,A+,O,A,O,O,O,A+,9.46
B0122,A,A+,A+,A+,O,O,A+,A+,9.08
B0123,O,O,O,A+,O,O,O,O,9.88
B0124,A+,O,O,A,O,O,O,A+,9.5
